,Country,Avg_Sale,Var_Trend,Cluster
129,Qatar,76,6,0
130,Georgia,78,6,0
131,Uzbekistan,128,9,0
132,Armenia,74,9,0
133,Kazakhstan,124,12,0
134,Algeria,47,19,0
135,Sweden,4,25,0
136,United Kingdom,9,33,0
137,Suriname,109,42,0
138,Guyana,90,51,0
139,Cook Islands,19,63,0
140,Tajikistan,191,68,0
141,Kiribati,702,-39,1
142,Bhutan,587,-38,1
143,"Korea, Dem. Rep.",686,-35,1
144,Timor-Leste,562,-32,1
145,Zambia,535,-27,1
146,Bangladesh,515,-24,1
147,Philippines,644,-22,1
148,Cambodia,778,-14,1
149,Mauritania,594,-5,1
150,Namibia,555,-4,1
151,Mali,589,1,1
152,Djibouti,1064,3,1
153,Togo,672,11,1
154,South Africa,599,15,1
155,Swaziland,636,27,1
156,"Congo, Dem. Rep.",519,28,1
157,Zimbabwe,512,39,1
158,Sierra Leone,653,44,1
159,Tuvalu,433,-53,2
160,Solomon Islands,367,-50,2
161,Peru,241,-43,2
162,Myanmar,281,-42,2
163,Pakistan,382,-41,2
164,Nepal,411,-41,2
165,India,450,-37,2
166,Afghanistan,353,-32,2
167,Mongolia,340,-31,2
168,Angola,413,-28,2
169,Indonesia,340,-28,2
170,China,269,-27,2
171,Bolivia,267,-25,2
172,Cape Verde,372,-24,2
173,Thailand,246,-21,2
174,Somalia,451,-21,2
175,Viet Nam,282,-21,2
176,Laos,358,-19,2
177,Guinea-Bissau,344,-19,2
178,Sao Tome and Principe,284,-15,2
179,Ghana,409,-13,2
180,Malawi,349,-12,2
181,Haiti,412,-11,2
182,Papua New Guinea,480,-10,2
183,Liberia,428,-7,2
184,Niger,297,-1,2
185,Central African Republic,419,1,2
186,Sudan,392,2,2
187,Tanzania,317,6,2
188,Uganda,392,8,2
189,Gambia,372,8,2
190,Madagascar,371,12,2
191,Kenya,284,12,2
192,Mozambique,444,13,2
193,Senegal,412,13,2
194,Gabon,330,14,2
195,Nigeria,442,17,2
196,Chad,406,22,2
197,Ethiopia,468,23,2
198,"Congo, Rep.",375,29,2
199,Burkina Faso,310,30,2
200,Cote d'Ivoire,438,32,2
201,Guinea,325,37,2
202,Botswana,448,38,2
203,Burundi,449,44,2
204,Rwanda,400,47,2
205,Equatorial Guinea,294,59,2
206,Lesotho,336,69,2
